Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link
"Trong kiến trúc game Mê cung, phần nào thuộc 'Dữ liệu'?",Multiple Choice,Hàm di_chuyen,Hàm cham_tuong,Vòng lặp chính,"DANH_SACH_TUONG, BUOC, diem, thoi_gian",,4,30,
Phần nào thuộc 'Logic / thuật toán' của game?,Multiple Choice,Chỉ màu sắc tường,Hàm kiểm tra chạm tường và điều kiện thắng,Chỉ font chữ thông báo,Tên biến thong_bao,,2,30,
Thứ tự hợp lý khi xử lý một lần bấm phím di chuyển là gì?,Multiple Choice,Thắng → vẽ tường → di chuyển,Cộng điểm → vẽ tường → nghe phím,Tính chỗ mới → kiểm tra chạm tường → nếu an toàn thì goto → kiểm tra thắng,Xóa màn hình → tắt game,,3,30,
Tại sao tường nên lưu trong danh sách thay vì vẽ cứng từng dòng rời rạc?,Multiple Choice,Dễ sửa map và dùng lại cùng một hàm kiểm tra va chạm,Turtle không cho vẽ từng đoạn,Danh sách luôn nhanh hơn mọi cách khác,Vì Python bắt buộc dùng list,,1,30,
Nếu quên pendown() khi vẽ tường thì kết quả là gì?,Multiple Choice,Tường dày gấp đôi,Rùa biến mất,Game tự thắng,Không thấy đường tường vì bút đang nhấc,,4,30,
Nếu quên penup() trước khi goto điểm đầu tường thì có thể xảy ra gì?,Multiple Choice,Không có gì xảy ra,Có thể bị kéo một nét thừa từ vị trí cũ tới điểm đầu,Điểm số bị xóa,Phím mũi tên mất tác dụng,,2,30,
Công thức abs(y_moi - y1) < KHOANG_CACH_TUONG dùng để phát hiện gì?,Multiple Choice,Rùa đã thắng,Hết thời gian,Chỗ mới đang SÁT tường ngang,Màu tường sai,,3,30,
"min(x1, x2) và max(x1, x2) khi kiểm tra tường ngang giúp ích gì?",Multiple Choice,Xác định khoảng trái–phải của đoạn tường dù hai đầu nhập ngược thứ tự,Đổi tường ngang thành tường dọc,Tăng điểm thưởng,Ẩn tường khỏi màn hình,,1,30,
"Khi rùa chạm tường, hành vi đúng của game là gì?",Multiple Choice,Xóa tường đó đi,Cộng 50 điểm,Đưa rùa về đích ngay,Không cho goto tới vị trí mới (ở lại chỗ cũ),,4,30,
Biến thang (True/False) thường dùng để làm gì?,Multiple Choice,Lưu màu đích,Đánh dấu đã thắng để dừng cập nhật / không cho đi tiếp,Đếm số tường,Lưu BUOC hiện tại,,2,30,
Hình ảnh 'đoạn đường cắt tường' gần với ý nào nhất?,Multiple Choice,Hai hình tròn chồng nhau,Đổi màu bút vẽ,Đường đi của rùa đi qua vị trí tường như cắt một đoạn thẳng,Chỉ so sánh tên biến,,3,30,
"Nếu tăng BUOC quá lớn mà không có kiểm tra đoạn đường, rủi ro chính là gì?",Multiple Choice,Dễ xuyên tường vì mỗi bước nhảy xa,Rùa chạy chậm hơn,Không vẽ được tường,Phím mũi tên bị đảo,,1,30,
Thông báo 'THẮNG RỒI!' thường được viết bằng turtle nào?,Multiple Choice,Chính rùa người chơi,Turtle tường,Không cần turtle,Một turtle riêng (ví dụ thong_bao) để viết chữ,,4,30,
"Trong game, 'map mê cung' thay đổi chủ yếu bằng cách nào?",Multiple Choice,Đổi tên hàm di_chuyen,Sửa các bộ tọa độ trong DANH_SACH_TUONG,Đổi font chữ,Xóa hàm cham_tuong,,2,30,
Tại sao cần screen.tracer(0) hoặc cập nhật thủ công trong một số game Turtle?,Multiple Choice,Để tắt bàn phím,Để tăng điểm,Để vẽ mượt / kiểm soát việc làm mới màn hình,Để bắt buộc dùng màu đỏ,,3,30,
Điều kiện thắng dựa trên distance tới đích thuộc nhóm ý tưởng nào?,Multiple Choice,So sánh khoảng cách hình học giữa hai turtle,Đếm số lần bấm phím,So sánh màu sắc,Kiểm tra tường ngang hay dọc,,1,30,
Câu nào mô tả đúng vai trò của return trong cham_tuong?,Multiple Choice,return chỉ dùng để in chữ ra màn hình,return luôn trả về điểm số,return xóa danh sách tường,return True/False báo cho hàm gọi biết có chạm tường hay không,,4,30,
"Khi duyệt for x1, y1, x2, y2 in DANH_SACH_TUONG, chương trình đang làm gì?",Multiple Choice,Xóa lần lượt từng tường,Xét từng đoạn tường để kiểm tra va chạm (hoặc để vẽ),Tạo phím tắt mới,Tăng BUOC sau mỗi tường,,2,30,
"Nếu sau vòng for kiểm tra tường mà không return True sớm, hàm cham_tuong sẽ?",Multiple Choice,Báo lỗi cú pháp,Tự động thắng game,return False — nghĩa là không chạm tường nào,Xóa biến x_moi,,3,30,
"Lợi ích của việc tách hàm ve_tuong, di_chuyen, cham_tuong là gì?",Multiple Choice,"Code dễ đọc, dễ sửa từng phần (vẽ / điều khiển / va chạm)",Làm game chạy chậm cố ý,Bắt buộc phải dùng class,Giảm số tường được phép vẽ,,1,30,
Câu nào SAI về game Mê cung trong bài học?,Multiple Choice,Rùa cần tránh tường để tới đích,Có thể tính điểm theo thời gian,Va chạm nên xét cả đoạn đường đi,Người chơi thắng bằng cách cố tình đâm thủng mọi tường,,4,30,
"Khi thiết kế mê cung mới, việc nào nên làm trước?",Multiple Choice,Viết thông báo thắng trước tiên,Phác thảo layout tường (tọa độ) rồi mới đưa vào DANH_SACH_TUONG,Xóa hàm listen(),Đổi BUOC thành chữ,,2,30,
Tóm tắt đúng nhất thuật toán chống xuyên tường là gì?,Multiple Choice,Chỉ cộng điểm mỗi giây,Chỉ đổi màu khi gần tường,So sánh đoạn đi (cũ→mới) với từng tường ngang/dọc; nếu cắt hoặc sát tường thì chặn,Chỉ ẩn rùa khi chạm đích,,3,30,
